Date,Open,High,Low,Close,Adj_Close,Volume,Day
2019-01-28,10.7525,10.7775,10.5025,10.7775,10.581221,70179600,1345
2019-01-29,10.7975,10.8025,10.3575,10.4725,10.281775,61265200,1346
2019-01-30,10.825,11.38,10.7225,11.2575,11.05248,87912000,1347
2019-01-31,11.455,11.93,11.42,11.7525,11.538464,80287600,1348
2019-02-01,11.585,11.855,11.515,11.6025,11.391196,70780800,1349
2019-02-04,11.6175,12.04,11.585,12.0275,11.808455,55488400,1350
2019-02-05,12.0925,12.4,12.075,12.345,12.120173,64458400,1351
2019-02-06,12.37,12.4325,12.08,12.2475,12.02445,72710000,1352
2019-02-07,11.9175,12.0075,11.4725,11.7475,11.533556,104896800,1353
2019-02-08,11.4275,11.8125,11.4,11.8075,11.592462,72361200,1354
2019-02-11,11.9425,12.0275,11.69,11.78,11.565463,60598400,1355
2019-02-12,12.0325,12.3475,11.9725,12.29,12.066175,64113200,1356
2019-02-13,12.465,12.57,12.28,12.315,12.09072,63804800,1357
2019-02-14,12.175,12.4875,12.055,12.36,12.134901,76684800,1358
2019-02-15,12.6275,12.63,12.34,12.5075,12.279714,71248000,1359
2019-02-19,12.39,12.6975,12.39,12.5825,12.353349,51786400,1360
2019-02-20,12.6125,12.7575,12.3725,12.5725,12.343531,85532800,1361
2019-02-21,12.4675,12.5725,12.2325,12.43,12.203626,64246800,1362
2019-02-22,12.515,12.73,12.4925,12.7,12.468708,59818800,1363
2019-02-25,13.0025,13.095,12.815,12.84,12.606159,62051200,1364
2019-02-26,12.74,13,12.68,12.88,12.64543,52678400,1365
2019-02-27,12.7075,12.895,12.4475,12.84,12.606159,57922000,1366
2019-02-28,12.7275,12.895,12.65,12.76,12.527616,46031600,1367
2019-03-01,13.03,13.0725,12.755,13.015,12.77797,70078400,1368
2019-03-04,13.2425,13.3325,12.5875,13.0175,12.780425,106544000,1369
2019-03-05,13.045,13.17,12.855,13.05,12.812333,50174400,1370
2019-03-06,13.0825,13.095,12.765,12.825,12.591431,61734400,1371
2019-03-07,12.72,12.735,12.2075,12.3575,12.132445,84653200,1372
2019-03-08,11.935,12.305,11.89,12.2875,12.063721,87468400,1373
2019-03-11,12.4325,13.0775,12.4325,13.055,12.817243,64234000,1374
2019-03-12,13.1575,13.3675,13.0625,13.2675,13.025874,75803200,1375
2019-03-13,13.4675,13.7725,13.415,13.555,13.308137,72564800,1376
2019-03-14,13.58,13.63,13.475,13.495,13.249229,47721600,1377
2019-03-15,13.6525,13.985,13.615,13.83,13.578128,69422800,1378
2019-03-18,13.8425,14.085,13.76,13.955,13.700851,74497200,1379
2019-03-19,14.135,14.32,13.9225,14.095,13.838304,82190400,1380
2019-03-20,14.0875,14.5125,13.8975,14.2525,13.997899,91761200,1381
2019-03-21,14.12,14.975,14.1125,14.9125,14.64611,75978800,1382
2019-03-22,14.7175,14.8375,13.885,13.9375,13.688526,133800800,1383
2019-03-25,13.765,13.9925,13.545,13.85,13.602591,105184800,1384
2019-03-26,14.1725,14.42,13.8275,14.04,13.789195,87936000,1385
2019-03-27,14.0975,14.195,13.4625,13.765,13.519108,88405200,1386
2019-03-28,13.8675,14.0075,13.6075,13.8525,13.605044,64218800,1387
2019-03-29,14.1575,14.205,13.92,14.165,13.911963,63490000,1388
2019-04-01,14.575,14.775,14.425,14.7225,14.459503,61182400,1389
2019-04-02,14.7725,14.93,14.6575,14.885,14.6191,53364400,1390
2019-04-03,15.135,15.4225,15.0025,15.1425,14.872,75692000,1391
2019-04-04,15.145,15.32,14.8575,15.12,14.849903,71810400,1392
2019-04-05,15.265,15.375,15.195,15.3475,15.073339,52327200,1393
2019-04-08,15.27,15.4975,15.09,15.4675,15.191195,51730000,1394
2019-04-09,15.31,15.4575,15.2,15.2975,15.024231,52060800,1395
2019-04-10,15.365,15.555,15.3075,15.545,15.26731,49622000,1396
2019-04-11,15.6025,15.6075,15.34,15.4275,15.151908,55885200,1397
2019-04-12,15.625,15.65,15.4325,15.6175,15.338516,47614000,1398
2019-04-15,15.6175,15.68,15.315,15.63,15.350792,41684800,1399
2019-04-16,15.7875,15.8875,15.6475,15.7825,15.500567,47143600,1400
2019-04-17,16.09,16.139999,15.8025,15.94,15.655254,57211200,1401
2019-04-18,16.02,16.0275,15.7175,15.99,15.704361,45951600,1402
2019-04-22,15.7875,16.147499,15.75,16.125,15.836949,37878400,1403
2019-04-23,16.252501,16.799999,16.182501,16.737499,16.438505,52477200,1404
2019-04-24,16.775,16.844999,16.567499,16.575001,16.278912,47537600,1405
2019-04-25,16.942499,16.9625,16.5075,16.76,16.460608,59845200,1406
2019-04-26,16.702499,16.825001,16.275,16.82,16.519535,55258400,1407
2019-04-29,16.815001,16.9925,16.735001,16.91,16.607929,41898800,1408
2019-04-30,16.5,16.602501,16.1675,16.522499,16.227346,63797600,1409
2019-05-01,16.83,16.977501,16.315001,16.3325,16.040745,62958000,1410
2019-05-02,16.3375,16.5825,15.8125,16.1325,15.844315,70644400,1411
2019-05-03,16.535,16.9375,16.4475,16.8925,16.59074,54444800,1412
2019-05-06,15.8275,16.655001,15.74,16.59,16.293644,80857600,1413
2019-05-07,16.0525,16.254999,15.16,15.625,15.345881,118764800,1414
2019-05-08,15.4675,15.8475,15.2975,15.4875,15.210838,80618800,1415
2019-05-09,14.99,15.3975,14.5675,15.2425,14.970215,110208800,1416
2019-05-10,15.06,15.5075,14.31,15.285,15.011955,113929200,1417
2019-05-13,14.12,14.3575,13.5675,13.705,13.46018,117460400,1418
2019-05-14,13.905,14.395,13.7575,14.135,13.882499,70096000,1419
2019-05-15,13.865,14.8475,13.8475,14.7225,14.459503,88080000,1420
2019-05-16,14.75,15.455,14.7025,15.1825,14.911285,87013200,1421
2019-05-17,14.7225,15.335,14.6675,14.71,14.447227,91255200,1422
2019-05-20,14.095,14.2575,13.8125,13.9725,13.7229,92184400,1423
2019-05-21,14.3175,14.51,14.1825,14.3925,14.135399,57243600,1424
2019-05-22,14.145,14.445,14.14,14.205,13.951248,64456400,1425
2019-05-23,13.715,13.72,13.2775,13.535,13.293215,103840400,1426
2019-05-24,13.7675,13.9,13.47,13.515,13.273575,68612800,1427
2019-05-28,13.635,13.8525,13.3575,13.37,13.131165,58451600,1428
2019-05-29,13.1225,13.25,12.815,13.035,12.802148,88960800,1429
2019-05-30,13.1325,13.295,12.96,13.19,12.954379,68214000,1430
2019-05-31,12.7175,12.8525,12.535,12.555,12.330722,70300400,1431
2019-06-03,12.455,12.55,11.5325,11.7525,11.542559,120906400,1432
2019-06-04,12.1,12.72,11.9775,12.705,12.478042,81934800,1433
2019-06-05,13.0725,13.08,12.5925,12.985,12.753041,76158400,1434
2019-06-06,13.05,13.3875,12.8775,13.285,13.047681,50151200,1435
2019-06-07,13.5,14.23,13.455,14.0425,13.79165,75774000,1436
2019-06-10,14.34,14.955,14.34,14.555,14.294995,91636000,1437
2019-06-11,15.015,15.0925,14.4625,14.61,14.349012,68723600,1438
2019-06-12,14.4825,14.575,14.275,14.3625,14.105934,55088000,1439
2019-06-13,14.5325,14.7075,14.445,14.5975,14.336736,49279600,1440
2019-06-14,14.3675,14.525,14.2475,14.4075,14.15013,38572400,1441
2019-06-17,14.4975,14.7925,14.46,14.67,14.407942,37525200,1442
2019-06-18,15.1875,15.6225,15.0775,15.305,15.031598,70914800,1443
2019-06-19,15.3825,15.59,15.1,15.485,15.208382,68489600,1444
2019-06-20,16.122499,16.1325,15.5575,15.91,15.62579,59677600,1445
2019-06-21,15.8275,16.135,15.7375,15.8375,15.554585,52323200,1446
2019-06-24,15.9225,15.9725,15.8025,15.8325,15.549675,34469200,1447
2019-06-25,15.795,15.82,14.945,15.0225,14.754144,69811600,1448
2019-06-26,15.305,15.595,15.15,15.2125,14.94075,47057600,1449
2019-06-27,15.3775,15.4975,15.2625,15.3775,15.102802,37635200,1450
2019-06-28,15.495,15.5475,15.2775,15.4425,15.166642,49466400,1451
2019-07-01,16.325001,16.387501,15.8475,16.057501,15.770658,72410400,1452
2019-07-02,16.040001,16.252501,15.91,16.252501,15.962172,40624400,1453
2019-07-03,16.355,16.612499,16.315001,16.612499,16.315742,33563600,1454
2019-07-05,16.272499,16.5975,16.077499,16.504999,16.210159,58422400,1455
2019-07-08,16.1975,16.200001,15.955,16.157499,15.868867,52893600,1456
2019-07-09,15.9175,16.455,15.8825,16.4,16.107038,44297600,1457
2019-07-10,16.700001,17.022499,16.6,16.885,16.583374,77054800,1458
2019-07-11,16.967501,17.075001,16.6775,16.84,16.539179,63924800,1459
2019-07-12,16.887501,17.127501,16.844999,17.122499,16.816631,44596400,1460
2019-07-15,17.24,17.297501,17.102501,17.2675,16.959038,36697200,1461
2019-07-16,17.2125,17.27,16.860001,17.022499,16.718418,55996000,1462
2019-07-17,17.030001,17.1075,16.76,16.77,16.470427,46254000,1463
2019-07-18,16.522499,16.915001,16.3575,16.842501,16.541634,67784000,1464
2019-07-19,17.174999,17.174999,16.3925,16.434999,16.141411,70389600,1465
2019-07-22,16.559999,16.932501,16.555,16.8225,16.52199,47753200,1466
2019-07-23,17.102501,17.155001,16.76,17.147499,16.841185,58024800,1467
2019-07-24,16.959999,17.512501,16.950001,17.512501,17.199665,54622400,1468
2019-07-25,17.334999,17.3375,16.91,17.012501,16.708595,75037600,1469
2019-07-26,17.325001,17.5975,17.305,17.5175,17.204576,55739200,1470
2019-07-29,17.49,17.49,17.0175,17.355,17.044975,56637600,1471
2019-07-30,16.955,17.32,16.915001,17.122499,16.816631,55752000,1472
2019-07-31,17.2575,17.2875,15.925,16.4,16.107038,98170400,1473
2019-08-01,16.49,17.4,15.91,16.17,15.881146,149192400,1474
2019-08-02,15.8,15.8575,15.15,15.43,15.154365,123460000,1475
2019-08-05,14.485,14.485,13.42,13.81,13.563304,151242400,1476
2019-08-06,14.18,14.495,13.875,14.3775,14.120666,106770400,1477
2019-08-07,13.9025,14.6575,13.575,14.5875,14.326914,153954400,1478
2019-08-08,14.81,15.5575,14.6725,15.5525,15.274676,109528000,1479
2019-08-09,15.315,15.48,14.7425,15.0925,14.822892,110683200,1480
2019-08-12,14.82,14.9575,14.38,14.5875,14.326914,106655600,1481
2019-08-13,14.56,15.8475,14.5,15.545,15.26731,119629600,1482
2019-08-14,14.7875,14.935,14.065,14.1525,13.899685,152465200,1483
2019-08-15,14.225,14.33,13.7675,14.0925,13.840757,104469600,1484
2019-08-16,14.445,14.8725,14.445,14.7425,14.479147,82202800,1485
2019-08-19,15.3675,15.56,15.2425,15.4325,15.15682,60022000,1486
2019-08-20,15.3525,15.5125,15.1025,15.115,14.844993,62632000,1487
2019-08-21,15.5075,15.6475,15.3425,15.5,15.223115,50740800,1488
2019-08-22,15.59,15.6975,14.9825,15.35,15.075793,76314800,1489
2019-08-23,15.0325,15.45,13.77,13.945,13.695891,151175200,1490
2019-08-26,14.3725,14.515,14.115,14.51,14.250799,73292800,1491
